id,age_group_det,pop,deaths,cause,f_age
01001,ALT000,894,0,respiratory_diseases,0
01001,ALT001B15,10100,0,respiratory_diseases,1
01001,ALT015B20,4397,0,respiratory_diseases,15
01001,ALT020B25,8389,0,respiratory_diseases,20
01001,ALT025B30,7767,0,respiratory_diseases,25
01001,ALT030B35,5419,0,respiratory_diseases,30
01001,ALT035B40,4860,1,respiratory_diseases,35
01001,ALT040B45,4694,0,respiratory_diseases,40
01001,ALT045B50,6099,0,respiratory_diseases,45
01001,ALT050B55,6455,0,respiratory_diseases,50
01001,ALT055B60,5718,1,respiratory_diseases,55
01001,ALT060B65,4899,3,respiratory_diseases,60
01001,ALT065B70,4553,6,respiratory_diseases,65
01001,ALT070B75,3952,12,respiratory_diseases,70
01001,ALT075B80,4538,11,respiratory_diseases,75
01001,ALT080B85,2582,15,respiratory_diseases,80
01001,ALT085B90,1351,18,respiratory_diseases,85
01001,ALT090UM,765,13,respiratory_diseases,90
01002,ALT000,2470,0,respiratory_diseases,0
01002,ALT001B15,27948,0,respiratory_diseases,1
01002,ALT015B20,11273,0,respiratory_diseases,15
01002,ALT020B25,21992,0,respiratory_diseases,20
01002,ALT025B30,25421,0,respiratory_diseases,25
01002,ALT030B35,19420,1,respiratory_diseases,30
01002,ALT035B40,15634,1,respiratory_diseases,35
01002,ALT040B45,13922,1,respiratory_diseases,40
01002,ALT045B50,17331,1,respiratory_diseases,45
01002,ALT050B55,18149,2,respiratory_diseases,50
01002,ALT055B60,15398,3,respiratory_diseases,55
01002,ALT060B65,13005,6,respiratory_diseases,60
01002,ALT065B70,11587,21,respiratory_diseases,65
01002,ALT070B75,10318,20,respiratory_diseases,70
01002,ALT075B80,11421,33,respiratory_diseases,75
01002,ALT080B85,6496,16,respiratory_diseases,80
01002,ALT085B90,3483,30,respiratory_diseases,85
01002,ALT090UM,2173,34,respiratory_diseases,90
01003,ALT000,1998,0,respiratory_diseases,0
01003,ALT001B15,24971,0,respiratory_diseases,1
01003,ALT015B20,10375,0,respiratory_diseases,15
01003,ALT020B25,13476,1,respiratory_diseases,20
01003,ALT025B30,15261,0,respiratory_diseases,25
01003,ALT030B35,13654,0,respiratory_diseases,30
01003,ALT035B40,12727,0,respiratory_diseases,35
01003,ALT040B45,12300,1,respiratory_diseases,40
01003,ALT045B50,16226,0,respiratory_diseases,45
01003,ALT050B55,17600,2,respiratory_diseases,50
01003,ALT055B60,15152,6,respiratory_diseases,55
01003,ALT060B65,12775,3,respiratory_diseases,60
01003,ALT065B70,12178,20,respiratory_diseases,65
01003,ALT070B75,10953,20,respiratory_diseases,70
01003,ALT075B80,12613,38,respiratory_diseases,75
01003,ALT080B85,7655,43,respiratory_diseases,80
01003,ALT085B90,4259,31,respiratory_diseases,85
01003,ALT090UM,2539,38,respiratory_diseases,90
01004,ALT000,693,0,respiratory_diseases,0
01004,ALT001B15,9818,0,respiratory_diseases,1
01004,ALT015B20,4617,0,respiratory_diseases,15
01004,ALT020B25,4648,0,respiratory_diseases,20
01004,ALT025B30,5245,0,respiratory_diseases,25
01004,ALT030B35,4649,0,respiratory_diseases,30
01004,ALT035B40,4453,0,respiratory_diseases,35
01004,ALT040B45,4521,0,respiratory_diseases,40
01004,ALT045B50,6128,0,respiratory_diseases,45
01004,ALT050B55,6414,2,respiratory_diseases,50
01004,ALT055B60,5782,4,respiratory_diseases,55
01004,ALT060B65,4805,4,respiratory_diseases,60
01004,ALT065B70,4453,5,respiratory_diseases,65
01004,ALT070B75,3852,7,respiratory_diseases,70
01004,ALT075B80,4696,18,respiratory_diseases,75
01004,ALT080B85,2642,7,respiratory_diseases,80
01004,ALT085B90,1473,6,respiratory_diseases,85
01004,ALT090UM,791,8,respiratory_diseases,90
01051,ALT000,1094,0,respiratory_diseases,0
01051,ALT001B15,16126,0,respiratory_diseases,1
01051,ALT015B20,7653,0,respiratory_diseases,15
01051,ALT020B25,7349,0,respiratory_diseases,20
01051,ALT025B30,6842,0,respiratory_diseases,25
01051,ALT030B35,6460,0,respiratory_diseases,30
01051,ALT035B40,6638,0,respiratory_diseases,35
01051,ALT040B45,7204,0,respiratory_diseases,40
01051,ALT045B50,10607,0,respiratory_diseases,45
01051,ALT050B55,11656,1,respiratory_diseases,50
01051,ALT055B60,10404,1,respiratory_diseases,55
01051,ALT060B65,9110,6,respiratory_diseases,60
01051,ALT065B70,8571,6,respiratory_diseases,65
01051,ALT070B75,7076,20,respiratory_diseases,70
01051,ALT075B80,8189,25,respiratory_diseases,75
01051,ALT080B85,4808,18,respiratory_diseases,80
01051,ALT085B90,2507,19,respiratory_diseases,85
01051,ALT090UM,1266,21,respiratory_diseases,90
01053,ALT000,1887,0,respiratory_diseases,0
01053,ALT001B15,25482,0,respiratory_diseases,1
01053,ALT015B20,10704,0,respiratory_diseases,15
01053,ALT020B25,9140,0,respiratory_diseases,20
01053,ALT025B30,9759,0,respiratory_diseases,25
01053,ALT030B35,10594,0,respiratory_diseases,30
01053,ALT035B40,11297,0,respiratory_diseases,35
01053,ALT040B45,11670,0,respiratory_diseases,40
01053,ALT045B50,16111,0,respiratory_diseases,45
01053,ALT050B55,18167,1,respiratory_diseases,50
01053,ALT055B60,15095,4,respiratory_diseases,55
01053,ALT060B65,11897,9,respiratory_diseases,60
01053,ALT065B70,10858,15,respiratory_diseases,65
01053,ALT070B75,9189,12,respiratory_diseases,70
01053,ALT075B80,11151,31,respiratory_diseases,75
01053,ALT080B85,6684,23,respiratory_diseases,80
01053,ALT085B90,3474,21,respiratory_diseases,85
01053,ALT090UM,1904,31,respiratory_diseases,90
01054,ALT000,1410,0,respiratory_diseases,0
01054,ALT001B15,19662,0,respiratory_diseases,1
01054,ALT015B20,9547,0,respiratory_diseases,15
01054,ALT020B25,9023,0,respiratory_diseases,20
01054,ALT025B30,9288,0,respiratory_diseases,25
01054,ALT030B35,8435,0,respiratory_diseases,30
01054,ALT035B40,8544,0,respiratory_diseases,35
01054,ALT040B45,9016,0,respiratory_diseases,40
01054,ALT045B50,12836,0,respiratory_diseases,45
01054,ALT050B55,14743,2,respiratory_diseases,50
01054,ALT055B60,12653,1,respiratory_diseases,55
01054,ALT060B65,10830,2,respiratory_diseases,60
01054,ALT065B70,10349,10,respiratory_diseases,65
01054,ALT070B75,8582,14,respiratory_diseases,70
01054,ALT075B80,10062,26,respiratory_diseases,75
01054,ALT080B85,5482,34,respiratory_diseases,80
01054,ALT085B90,2944,28,respiratory_diseases,85
01054,ALT090UM,1520,25,respiratory_diseases,90
01055,ALT000,1348,0,respiratory_diseases,0
01055,ALT001B15,22298,0,respiratory_diseases,1
01055,ALT015B20,10117,0,respiratory_diseases,15
01055,ALT020B25,8957,0,respiratory_diseases,20
01055,ALT025B30,9231,0,respiratory_diseases,25
01055,ALT030B35,9114,0,respiratory_diseases,30
